rank,player,team,position,top_speed_kmh,high_speed_running,sprints,total_distance_metres,source_url,retrieved_date
92,Nico Oreilly,ENG,DF,34.24,596,236,54499.2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
93,Jean Ricner Bellegarde,HAI,MF,34.22,431,112,32370.02,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
94,Cameron Burgess,AUS,DF,34.2,147,33,15035.64,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
95,Ollie Watkins,ENG,FW,34.2,83,39,7078.71,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
96,Danilo,BRA,DF,34.2,495,217,44689.09,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
97,Tajon Buchanan,CAN,FW,34.15,537,213,43975.29,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
98,Oscar Bobb,NOR,MF,34.15,334,136,29207.95,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
99,Vinicius Junior,BRA,FW,34.14,514,253,47848.57,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
100,William Saliba,FRA,DF,34.12,407,157,49524.88,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
101,Sherzod Nasrullaev,UZB,DF,34.12,232,95,21551.92,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
102,Neil El Aynaoui,MAR,MF,34.12,836,276,70474.7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
103,Ali Ahmed,CAN,FW,34.11,341,172,27940.35,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
104,Amir Murillo,PAN,DF,34.1,332,156,31781.32,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
105,Jhon Lucumi,COL,DF,34.1,350,115,43823.06,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
106,Josko Gvardiol,CRO,DF,34.09,238,88,18796.01,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
107,Gabriel Martinelli,BRA,FW,34.09,216,87,18477.89,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
108,Jarell Quansah,ENG,DF,34.09,220,86,20672.41,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
109,Iqraam Rayners,RSA,FW,34.07,193,108,19309.81,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
