rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
158,Leroy Sane,GER,MF,1,0,360,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
159,Rafik Belghali,ALG,DF,1,0,362,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
160,Fabian Ruiz,ESP,MF,1,0,366,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
161,Franck Kessie,CIV,MF,1,0,389,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
162,Kevin Pina,CPV,MF,1,0,389,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
163,Jhon Arias,COL,MF,1,0,405,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
164,Gonzalo Plata,ECU,FW,1,0,407,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
165,Marcel Sabitzer,AUT,MF,1,0,412,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
166,Kevin De Bruyne,BEL,MF,1,0,412,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
167,Casemiro,BRA,MF,1,0,425,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
168,Jan Paul Van Hecke,NED,DF,1,0,432,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
169,Stephen Eustaquio,CAN,MF,1,0,444,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
170,Nuno Mendes,POR,DF,1,0,447,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
171,Joao Neves,POR,MF,1,0,450,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
172,Yasser Ibrahim,EGY,DF,1,0,533,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
173,Issa Diop,MAR,DF,1,0,534,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
174,Granit Xhaka,SUI,MF,1,0,673,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Cristian Romero,ARG,DF,1,0,685,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
176,Julian Alvarez,ARG,FW,1,0,690,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
177,Lamine Yamal,ESP,FW,1,0,697,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
178,Ezri Konsa,ENG,DF,1,0,739,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
179,Michael Olise,FRA,FW,0,7,719,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
180,Bruno Guimaraes,BRA,MF,0,4,458,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
181,Brahim Diaz,MAR,FW,0,4,500,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
